Review,Rating
"game pay to win tolol,hama berasa bgt pay to win nyaa aowkwow tiap Minggu kartu "" baru,bikin sistem gameplay nya berbayar kalo mau jago bgt aowmwowkwoww cuih",1
game kontol,1
no comment,1
main divisi 100% 1 menang 1 kalah,1
gem enk,5
udah di download tapi kaga bisa masuk hadehhh,1
Di perbaiki servernya dan game playnya. Koin 1900 cuma dapet sampah,1
"server jaringan di perbaiki saya setiap main divisi sering leg"" sedang menyerangan",4
bagus,5
makin berat aja ini game. apalagi mode pvp kebanyakan delay. event juga makin pelit,1
mau maen sampe pecah hp nya gak bakalan menang di karenakan bnyak setingan ada waktu menang ada waktu kalah klo pas menang enak bnget ngalahin musuh tp klo pas waktu kalah weh gak ada kiper juga gak gol aneh tp nyata,1
"Dari dulu"" saya sudah minta tolong untuk menghilangkan script dari game ini agar gameplay murni skill bukan bantuan sistem. Alhamdulillah sekarang scriptnya TAMBAH PARAH. Udahlah script gameplay, eh sekarang ada lagi script sinyal.",1
game nya bagus grafik hd pokok nya wajib di download 🔥,5
game tolol lawanya tidak sepadan kalah Mulu mas ketemu yg ovr 32 trus,1
game ga ke urus login lama males main lagi,1
game bodoh banyak skripp,1
"ngapain juga datanya dipisahin , harus download in gamenya nyusahin amat",1
game scam banyak skrip main ga fair,1
ini bung apalah game nya emang bagus tapi ada bung kan mbappe gw nge gol lin masa pas selebrasi kaki nya hilang ini gimana wy,1
GK mau komen,5
game baguss good job,5
game tolol anomali konami,1
"saat main PvP pasti kalah padahal sinyal mendukung tapi putus trus, apalagi pass ngepush divisi 2 ke 1 sudah menang tapi poin dapat sedikit mulu",1
keren om,5
update malah nambah parah bar sinyal bagis tapi ngelag edan,1
game rusak,1
"update tapi tambah jelek, laga suka ngelag dan keluar sendiri",1
"game sampah, jaringan ngelag kalau main laga online, jadi kalah teruss. update makin jelek",1
"Game ga jelas, tiba-tiba keluar dari permainan padahal jaringan wifi bagus.",1
gm nya lama unduh nya,1
"game yang sangat bagus, bagusan bubar aja udah",1
"nda jelas anjir gua udah cetak 2:0 tiba"" musuh ngelag malah gua yang kalah asw emang",1
"setelah update bertahan jadiebih berat, pemain lebih lambat membayangi seperti tidak ada gunanya, dari pada seperti itu mending update server biar lebih baik",1
Tidak bisa login setelah updat kamis 16-04-2026 ketrangan terkendala jaringan padahal kuota dan jaringan stabil,1
pembaruan macam apa ini....lagi menang sering banget lag tiba² kalah... kacau kacau tolong adakan mode AI otomatis jika jaringan kita diskonek.... kaya game mobilegend brooo,1
"grafik bagus, sayangnya gacanya busuk",5
game tololl,1
tolong wasit nya yang adil jangan ngedukung tim yang ga suka gw benci udah kena taclkle di kotak pinalti kaga di kasih pinalti dan wasit yang membawa bendera tidak pernah mengasih offside walau lagi offside game banyak scriptttttttt offside nya tidak passssss,2
damy anjjng gamenya gelo tolong di benah lagi yak masalah soal ituh AI mu yg gk bisa di jebol ituh mau gila gua main di liga efotbaal divisi 2 gk bisa di jebol jing klok kita gampang sekali di goal jing,2
game kontoll perbaiki tu banyak player main pake cheet asuu,1
bagus sekali konami baik,5
gameplay masih terlalu lambat dan patah patah..apalagi pada saat laga online..masih banyak yang perlu di perbaiki,2
"game ee, giliran mau menang boot, sinyal lemot ngeleg, ee, game setingan gak jelas",1
kalau bisa jink jangan apa apa main skrip sat jaringan tiba tiba lari apalag itu njeng,1
bgs. bnget,5
"match ga fair, gakan menang tim baru dengan yg topup, harusnya d filter biar lebih fair. sepakbola ko ga fair , aneh",1
tiap update gamenya gak enak bangke,1
"signal server lemot.. ga ada dana untuk upgrade server.., coba dulu sebulan ini, kalau masih lag saja pvp uninstall",1
game nya baguss temen²ku pada main tapi kalo ada pemain hattrick dikasih penghargaan y makasih,5
punyaku nggak bisa login,1
game p2w masa kekuatan tim 3056 dapat musuh 3215,1
game nya gak bagus,5
tidak dapat login,1
tolong aku kagak bisa login!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1
akun Saya tidak bisa login,1
bgus dan keren,5
"anyone i beg beg beg beg you konami please, just nerf newcastle wb.",3
delete Smart Asist anj. Minimal klo ga dihapus dipisah bab1 macthmakingnya,1
"tolong pelanggarannya diperbaiki, masak saya nyenggol dikit pelanggaran, sedangkan musuh nyenggol pemain saya sampek gulung-gulung enggak pelanggaran",1
saya tadi nya mau kasih bintang 5 tapi GK jadi Krn sy tau di efootbal blom ada liga Indonesia saya harapkan liga Indonesia akan hadir....... terimakasih,4
gajelas bngt akun tiba' ilang tolong ini kenapa dah hadeh pas login malah gbisa,1
server ngelag,2
game boros BBM,1
kasih fitur konfigurasi analog kadang kepencet passing ga bisa di batalin sama jaringan tiba tiba leg,1
game tempek,1
tolong di kasi banyak pemain dulu²nya,4
sprint master league seru si kalo di adain terus min,5
WOI KONAMII TOLONG LAHHH SINGAL UDH BAGUS JARINGAN UDAHHHH KOK NGELAG MAKSUD KALIAN APA??,1
tambah liga Champions,5
jujur Konami the best dah ciptain game ini,5
mantab banget game ini,5
karena geme nya burik,1
ini saya kasi bintang 5 supaya bisa di perbaiki developernya kenapa gabisa masuk padahal baru download game ini malah stak 0%,5
"game ga jelas, kalau pemain lawan larinya kaya macan pas pemain kita larinya kayak siput,.. game bikin naik darah",1
jelek efottbal jelek hama mending FC mobile saya kasi bintang 5 biar kebaca,5
game bola yg paling ok di android,5
"Overall udh bagus, cuma kenapa ya saya lawan AI yg tinggi cb saya 185+ kalah duel udara sama card yg punya tinggi 170, dan itu engga sekali dua kali itu s ering banget terjadi jadi kek kesel aja kalo ga di perbaikin. terimaksih",1
"Konami tolong dioptimisasi lagi, akhir"" ini terasa berat pdhl sebelumnya tidak begini",5
"tolong perbaiki kenapa akun saya yang ke 2 tidak bisa di bukak,padahal menggunakan clone bawaan dari hp,tanpa melibatkan apk pihak ketiga. tolong perbaiki konami agar saya bisa main di akun ke 2 saya🙏",5
"kok saat saya buka dia muncul pemliaaraan server sedang berlangsung mohon tungu hinga peemliaraan selesai, selama pemiliharaan, kamu masih bisa memainkan laga vs al dengan [eksibisi] dari beranda.",5
kualitas nya bagus,5
saran garis umpan/shot ilangin aja biar lebih Ringan gamenya,4
"mana koin gua, kok gak masuk2 ini.",1
perbaiki masalah sinyal,1
kenapa HP Redmi note 14 Gak bisa Ful screen????????? Habis update ko jadi gini,5
bagus.,4
loding nya 0% terus,1
aku pengen banget pemain epik,1
game bagus😃,5
baguss 👍👍,5
"Ini game gak bebenah bebenah, Jaringan Bagus Lag nya gak karuan.",1
ganti akun ae cek ruwet e,1
developer yang terhormat tolong untuk update semua lisensi nya masa game besar yang seperti banyak yang tidak memiliki lisensi resmi jadi seperti tim bola abal abal,2
game ny sangat realistis dan sangat seru tetapi sangat susah mendapatan kan pemain yg bagus,5
"kenapa ini developer lagi asik push divisi malah keluar mulu dari game terputus tolong di perbaiki, jaringan saya sudah bagus, susah2 menang jadi kalah akhirnya mines😠",2
"tolong dong permasalahan jaringan diperhatikan, saya di aplikasi lain dan game² lain jaringan nya stabil dan bagus bgt, giliran die football kacau parah, saya rasa mudah saja untuk melawan musuh² nya, cuma karena jaringan yang tidak jelas akhirnya sangat sulit menang dengan kondisi jaringan seperti itu, mohon jaringan diberi opsi stabilisasi agar orang lain nyaman main game nya",1
"game nya bagus dan grafiknya bagus juga, kontrol mainnya oke tapi pliss tolong perbaiki bug download data nya, soalnya pas download data progresnya masih 1% mulu, padahal aku sudah tunggu seharian padahal penyimpanan ku masih kosong. plis konami perbaiki bug ini",4
efootball lebih bagus grafik dan tombol kontrol sangat enak ketika di mainkan sa senang mempunyai gem kaya gini 😁😁👍👍,5
seruuuu tapi...,5
semenjak update malah jadi delay banget mainnya,1
How can I defeat the highest level if all my attackers are guarded 1 person 1 by 1? Even the highest level opponents are more powerful than humans.,2
ya saya baru mencoba main game ini di hp ram 2 siapa tau bisa kalau bisa aku rating bintang 5,3
game makin ga jelas gameplay nya,1
Sudah baik. tolong tingkat kan server PVP.,5
game tolol,5
"Konami asyuu, gw gaca pemain box gak pernah di kasih satupun.",1
"sepakbola mana yg disleding dari belakang mau nendang kaga pelanggaran ajg!!! ngoper ke si A malah ke si B, udah ditutup ruang lawan masih aja lolos. GAME TAIIII!!!",1
👎👎👎,1
cant be login,3
"The best Game, However grafik nya agak burik sedikit lah. but the best game ever",5
sejak update aneh,2
tolong efootball Adain liga 1 nya dong,3
mantap men,5
makin kesini makin berat,1
baik,5
"TOLONG KONAMI HILANGKAN FITUR SMART ASSIST UNTUK DIVISI KARNA BANYAK PLAYER YANG MENGGUNAKAN ITU PADAHAL MEREKA TIDAK JAGO TAPI KARNA TERBANTU FITUR MEREKA SEPERTI JAGO SEKALI PADAHAL ITU MERUGIKAN PLAYER MURNI, TOLONG HAPUSS!!",5
sudah bagus tapi ada kekurangan nya sedikit aja,4
bantu donk kok dihp saya ngk bisa terbuka gamenya,5
"kenapa kalau ingin masuk ulang akun, akunya malah hilang, padahal aku saya sudah dari 2020 dan hilang gitu aja. gimana ni Konami. Mana udah banyak pemain legend lagi udah rugi banyak saya.",1
gua kena bug kayaknya soalnya efotbal gua pengunsuha selesai itu 0 persen terus coba kasih saran lah,3
👑,5
mantap... lebih tingkatkan agar tdk crash,5
berat,2
gem nya oke TPI dikit pemain gratis yang ovr nya tinggi,2
terlalu banyak skrip. orang2 banyak kalah,1
satu masukan : untuk tombol kontrol analog bisa di sesuaikan transparansi. terimakasih 🙏🏻,4
sangat bagus grafiknya,5
permainan nya seru dan grafik nya bagus aku suka,5
game tidak layak untuk dimainkan,1
masterliga nya dipatenkan dong,4
"game ini di buat untuk keluarga konami sendiri ,bukan buat user,jadi kalau mau download sabar"" saja,,,buat kalah terus,karena sudah di setting buat kemenangan keluarga konami,jadi begitu kira"".",1
perbaiki keamanan banyak lawan online menggunakan cheat bug eror jaringan,1
"System scripting very bad, in divition match, my player can't do with my control. delay and stupid playing. please fix it",1
"gak adil dalam pertandingan, kekuatan team saya masih 2000 di kasih lawan yang penuh dengan pemain legenda sedangkan saya pemainnya reguler semua. gak pernah dapat pemain legend padahal sudah divisi 4 PVP. game yang tidak adil",1
"Game tolol, dari segi gameplay nya berubah 180° derajat, semakin berat gameplay para pemain terutama Pele yang notabene nya merupakan salah satu dribble terbaik di game, lama kelamaan gameplay terasa berat dan tidak sebanding dengan stats dan traits pemain, bikin game yang ngotak tolol, sudah kikir, sebagaimana seorang F2P mendapatkan pemain baru, malah di keluarin pemain versi baru dan hanya berbeda sedikit stats nya, tetapi efek yang dapat dirasakan sangat signifikan dan berpengaruh pada Saya",5
bagus banget game ini,5
ok,5
Gamenya seru banget,5
MAKIN TOLOL GAME NYA,1
Kapan bisa menang main gem ini ngasih lawan Ngan ngotak 10 kali main gak ada 1 pun yg menang padahal masih di devisi 5,1
so bad,1
"Game makin hari makin gk jelas, peguna smart asiss mlh makin di untungkan",1
BOSOK,5
⚽️😍✌️,5
"setelah update akun ilang, gameplay makin ancur, makin susah di kontrol, dikit"" kena kartu hadehhhh",1
Hebat eFootball,5
game rusakkkk,1
"game burik masa setiap maen divisi udah hampir ke divisi 1 sinyal nya parah,efotbal gak mau akun gw ke divisi 1 parah",1
kenapa tim real madrid tidak di apdet....,2
"Eventnya ngebosenin, cuma jualan kartu",1
sampah,1
mantap bngett,5
"ganti wasit, dikit dikit pelanggaran",1
"Game Gila, Kalo Main PvP ngelag, Lawan Ai/Bot Ngelag, Game, Perbaiki lah Konami, ngelag bnget soalnyaaaaaa",1
lama bangat mau comback juga di lobyy mulu,2
tidak seimbangnya pemain pvp dan juga masih banyak hal yang bisa membuat game ini seperti tidak layak dimainkan karena kontrol bug bergerak pemain yang sangat slow respon .....sangat mengecewakan,1
Cocok dengan game kesukaan saya ... Tetab betah lama lama main sambil nunggu jam tidur 😴😴,5
"gua kasih bintang 1 masalah jaringan GK d perbaiki Mulu padahal data nya lancar pas login efotball ngeleg"" gajelas",1
game taek,1
"konami sampah ini makin hari makin lol game gak jelas main pakai hp IP 14 masa masih lag padahal jaringan 5g pemain full epic ini malah gak smooth kaya main pakai hp kentang apalagi kalau lagi push divisi makin parah mendingan delet aja nih e football, gak seperti dulu masih jamannya pes enak banget main smooth mau lawan PVP juga gak ngaruh ini makin kesini malah makin berat banget hp udah op skuadnya udah op parah masih aja berat bngt gerakannya terutama pas lagi PVP",1
saran saya Konami ngga usah ada pemain jaman sekarang legend aja semua,1
tidak bisa login ke dalam game akibat pengunduhan selesai tapi tidak bisa masuk ke dalam game,1
"gem contol sinyal 4G ngeleg², padahal hp gw bagus buat ML aja ngga tolong lah di perbaiki, bagus si bagus tapi ya itu sinyalnya.",1
good,5
tolol,1
update v.5.4.0 adalah update paling ngaco yg pernah ada. gw gak mau nambahin bintang sebelum pertahanan di fix kyk versi sebelumnya,1
makin susah banyak pemain scrript,1
gems dah bagus tapi sayang semenjak updet skrg tombol membayangi jadi kacau buat dived susah tolong di perbaiki lagi,5
terlalu sering update datanya besar lagi,3
ada apa ini konami.? sdh posisi menang tiba2 out sendiri. jaringan wifi normal. pas login tiba2 dikasih kalah. rating kesantunan turun ke B. padahal yg bermasalah gamenya. dasar game aneh.,1
wasitnya jgn botak mulu ngapa,5
nice,5
"For Konami, my advice for the next update is can adjust the size of the virtual control pad buttons. not only change the position but also the size of the buttons.",5
"tolong dong di permainan liga saya tambah kan juga liga champions nya seperti dlu, dalam liga ada liga champions juga",1
"pelit pemain, persis game judi online(MLBB)",1
"Tolonglah sponsor club di cantumkan juga. masa sekelas real Madrid,atletico, Liverpool,chelsea ,Manchester city, as Roma ,fiorentina tidak ada sponsor nya sama sekali di Jersey.. maen game nya serasa maen liga amatir . padahal game bola nomer 1 katanya. Giliran liga Brazil ,,,sponsornya penuh dri A sampai Z. Tolong untuk kedepannya dibikinin sponsor di Jersey masing masing . terima kasih KONAMI",3
apk sering bug semoga bangkrut,1
"Tolong kpd develop untuk masalah tidak bisa download data atau mentok di nol persen maupun sekian persen, saya tidak pernah menggunakan cloning apk sama sekali dan kenapa bisa berpengaruh pada apk yang asli. Mohon untuk perbaikan hal ini karna saya tidak bisa bermain kembali",3
pay-to-win game,1
"game bagus tapi tidak adil,saya kecewa",1
"game gak jelas, makin update makin gak jelas gameplay, sekarang dribble udh gak bsa dicegah, percuma pake bek tengah tp gak bsa ngejar penyerang, terus servernya perlu sinyal yg bagus banget buat main, itupun biasa kadang"" ngelag juga klo tim musuh yg jaringannya delay",1
"kenapa setiap kita megang bola selalu kalah sama lawan umpan lambung sama umpan atas sama emang game ga adil wasit juga gitu gol lawan malah ha offside padahal jelas banget kayak wasit bayaran semua sama var""nya kalo bikin game bagus itu yang detail curangnya kliatan banget katanya update biar gamenya adil adil apanya ga pernah hoki pilih kasih jangan didonload game gaguna bikin stres kalo ada rating 0 gw pilih 0",1
good,4
"game gajelas kena script terus , minimal kasih ilang bdo script nya ganggu aje push divisi tb tb pemain jadi berat game bgo",1
ngelag parah.. padahal kuota banyak.. padahal update terus ini game. solusi dong.. ketika nyerang..dan diserang timku selalu ngelag.,4
"gak enak main nya,main devisi ketemu lawan 3200 mulu,gak sepadan",1
"apaan ini game habis update seleding tekel pelan dikasih pelanggaran giliran bodi kenceng gak pelanggaran makin lama makin nggak nyaman ni game, pemain nyerang kebodi 2 orang kenceng nyampe jatoh nggak juga di kasih pelanggaran mending wasit yang dulu ga sih ketimbang sekarang.",1
masalah sinyal tolong perbaiki min,1
game semakin jelek!,1
"dear konami, ini dari lubuk hati terdalam, saya sudah dirampok dan merasa sangat tertekan, saya berada dalam posisi terugikan dengan hadirnya fitur yang menjadikan gameplay saya tidak jelas adanya, anda harus malu dan merasa diri anda hina, jikalau anda punya nyali, segeralah anda benarkan, dan proklamasikan kepada karyawan untuk segera membenahi masalah sinyal pada game anda, sekali lagi saya luruskan bahwa perilaku anda ini keliru, terimakasih. Tertanda asep surasep.",1
game ampas. kalau ga top up jangan harap dapat naik divisi,1
setelah update saya gk bisa main dengan tenang main laga vs ai aja lag apalagi PVP makin parah saya udah turunkan grafiknya ke rendah tetap sama sebelum update pakai grafik tinggi tidak terjadi masalah apapun kecuali ketika PVP memang ada sedikit lag tapi setelah update grafik rendah dan entah itu main laga vs ai atau PVP sama sama lag,2
game apalah udah gak hoki dapet musuh berat terus kacauu😮‍💨,1
We need a master league that is permanent and can be played continuously without energy limits. 🔥🔥🔥🔥,4
setelah di update tambah pemain plonga plongo kayak gak punya mata,1
"top up coin pake livin, dana dah kepotong tapi gak masuk ke cancel orderannya",1
"woi gawe lah anj, itu bnyk banget yng cheat",1
bagus banget,4
"game ajg,kalo mau main divisi selalu lag",1
"sangat seruu,sayaa bener bener tertarik dengan game ini",5
tolong. saya mohon tambahin liga super Indonesia.. pliiss.. buat admin nya saya minta tolong tambahin super league Indonesia.🙏,5
saya bangat aplikasi tidak netra aplikasi iyh karna yg ada cr7 al nasir sama madrid nama tidak sama yg asli,4
"game aneh di play store udah download full, di game nya suruh download lagi",3
"gameplay berat bngt klo lawa orng ,game tlol",1
koneksi parah... banyak kecurangan!!!,2
"kenapa tidak bisa transfer data lewat google play, sehingga saya harus memulai dari awal lagi",1
KONEKSI SANGAT BURUK SEKALI.... Jadi nge lag melulu pas main... Jadi kalahan....,1
loading masuk game nya lama,3
gajelas,1
ngebag mulu gw pas baru dowload efootball nya udah download file nya habis itu ngulang lagi,1
Kalo lagi online match jaringan suka lep lep pan padahal bagus tolong di perbaiki kembali buat match nya sangat membuat tidak nyaman,2
umur saya udh 23 thun tpi kok ngk bisa beli pemain,4
ini adalah gameyg menyenangkan dan terbaik dan tapi kalau di Uninstal dan pas di instal kembali datanyaa hilang,5
makin lama makin berat aja ini game,3
tambah GK jelas game nya,5
"Sinyal dari dulu ga pernah dibenerin, ngerusak feel orang yang main",1
tolong di perbaiki di jaringannya,1
"Master League is dissappointed id I can give 0 star,I Will give it!!! Kembalikan master League yang zaman pes!!!!",1
top,5
loading nya lama bet,1
benerin dulu game nya konami,3
The referee is not working. Tackling the legs and not a foul is a big programming error. kokomi?,1
saya kasih bintang 3 dulu karena makin sini makin susah mau login juga harus ada file tambahan udah pakai wifi juga gak nambah tuh peresen nya stak 0,3
"SINYAL MENJADI MASALAH UTAMA, KAMI SEBAGAI PEMAIN, SANGAT-SANGAT KESAL DAN CAPEK KARENA MASALAH SINYAL, SEMOGA CEPAT DI PERBAIKI, AGAR KAMI SEBAGAI PEMAIN BISA MEMAINKAN GAME INI DENGAN TENANG, TUJUAN KAMI MAIN GAME INI ADALAH UNTUK MENGHIBUR DIRI DARI CAPEKNYA KERJA, MASALAH KELUARGA,DLL, BUKAN HIBURAN YANG KAMI DAPAT MALAH RASAH KESAL EMOSI, KARENA MASALAH SINYAL.",1
sinyal penuh tapi di game jelek,1
"MMK. Sistem gacha nya kayak asu. Percuma AE kumpulin lama lama, scam banget kmk",1
jangan sering update,5
udah main segitu banyaknya voucher segitu banyaknya ngak di kasih pemain bagus .. dikasih sampah mulu,1
bagus tapi kok ulang dari awal,3
"mau main PVP tiba tiba keluar sendiri abis itu kalah, padahal jaringan lancar lancar aja tadi",1
"game playnya makin lama makin aneh,kontrol bola ajo sering lepas",1
gamenya bagus banget kayak FIFA,5
game jelek GK bisa di unduh padahal dulu bisa kenapa sekarang GK bisa game jelek,1
keren,5
di tunggu Perbaruan Logo Klub Ke logo Klub Tahun Sekarang,5
"Terima kasih sudah membuat gamenya support gamepad, walaupun tombolnya tidak bisa di atur seperti larinya R2 (bukan R1) dan menunya tidak bisa pakai gamepad, tapi yah itu sudah sangat menyenangkan bisa main pake gamepad... saya harap kedepannya fitur gamepad lebih di perbaiki lagi semirip mungkin dengan yang di steam agar kami player sederhana bisa main pakai gamepad tanpa harus beli pc/laptop mahal 😁",5
"game nya bagus, grafiknya juga tinggi lebih mudah dimainkan daripada game sepak bola lainnya, cocok untuk yang hpnya HP game dan HP bagus, juga HP yang bisa untuk game berat",5
"kenapa harus 2 kali download sih, kenapa gak di jadiin satu aja kayak yang dulu kalo gini malah makin lama nunggunya",1
"game yg paling ga peduli sm komunitas, setiap update hari kamis gameplay berubah, ga jelas apa yg dibuff nerf tbtb player harus nyesuain tanpa ada clue apapun. masa liat penyesuaian gameplay tergantung konamex lg jual pemain apa?",1
"game hama,kenapa harus ada update ""pengunduhan selesai"" jadi akun gua yang blm di tautin jadi ilang jink",1
tolong perbaiki lagi sistem laga masa setiap main ketemu lawannyang memanipulasi jaringan bikin ngelag sangat mengganggu saat bermain. #garispek,1
bagus sekali,5
konami mau kasih saran kalo ganti akun jangan di kasih limit dong please.......,1
ini game tambah menjengkelkan,1
"game setan banyak banget bug nya, jaringan bagus ngeleg 😭😭😭",1
GAMENYA JELEK BANYAK BUG SINYAL LANCAR MASIH NGELAG HAPUS AJA GAME LU,1
"kecewa wkwk lebih suka efootbal yang dulu,yang download langsung 2GB dari luar dari pada di dalem,gua udah 3x hapus download cuma gara' gamau jalan pas di download daleman nya,batre gua dari 45% sampe 10% sampe sekarang gabisa masuk-masuk,tadi udah 80% malah disuruh downlod ulang wkwk parah banget,kuota gua dari 14GB sampe 8GB",1
game konyol server busuk,1
keluarkan epic Ronaldo real madrid konamiiiiiii!,5
tombol tetapny dipakai delay,1
"begoooooo tooolooooonggg cookkk konamii di benariinnnn gua capek brooo cf nya, tolong di benarin finishing nya jelek kali dah depan mata gawang gak gol, toolooonggg dibenarin yang nendang Andy cole yang terbaru reting ovr nya 101 tolongg plss konamii pls banget, tolong di bacaaaaaa yaaa plllsss gua mohon banget sama luuuu konamiiiii",3
kontrol bermasalah lagi setelah update,2
sinyal tiba2 ngelag padahal bar 4,3
updet kali ini sangat kecewa terutama di jersiy timnas indonesia jadi ga mirip yang aslinya,1
Jaringan/servernya kacau bikin emosi kalo lagi push divisi. padahal posisi lagi menang tiba2 selesai laga malah jadi kalah. Padahal sinyal udah bagus hp udah support. gak ngerti lagi dah,2
"game bapuk, sinyal gapernah di perbaikin kalo main lag mulu kalah sama game game lain yang udah lebih maju, cuma fokus jualan wkwk",1
"Akun saya yg lama yg sudah ditautkan dgn google play dan konami id yg saya hapus kenapa tidak bisa login, padahal itu juga tertaut dgn google play",1
"sangat tidak memuaskan dengan adanya bug yang berkepanjangan, setiap update selalu ad bug yang merugikan pengguna, tolong diperbaiki bila game ini ingin menjadi yang terdepan",1
kecewa baget gw lawan bot legend selalu kena curang karena ada kejangalan harusnya offside ko selalu lolos offside bot legend nya dan terjadilah gol gitu aja trus selalu kena curang,1
"habis update malah makin buruk,gameplay sering lag,padahal buat main game lain kagak lag ama sekali, jaringan juga uda 5G kemaren sebelum update gameplay kagak pernah lag, tapi habis update buat main dikit² lag yg sering lag pas hampir ngegollin kan gk masuk akal,dikit² update tapi malah makin buruk bikin player malas main kalo kek gini terus",1
gem nya seru,5
