Review,Rating,text_clean,text_casefoldingText,text_slangwords,text_tokenizingText,text_stopword,text_akhir,Label
Game Stress,1,Game Stress,game stress,game stress,"['game', 'stress']","['game', 'stress']",game stress,negative
"Buruk, tidak layak dimainkan jangka lama, dan sering Bug.",1,Buruk tidak layak dimainkan jangka lama dan sering Bug,buruk tidak layak dimainkan jangka lama dan sering bug,buruk tidak layak dimainkan jangka lama dan sering bug,"['buruk', 'tidak', 'layak', 'dimainkan', 'jangka', 'lama', 'dan', 'sering', 'bug']","['buruk', 'layak', 'dimainkan', 'jangka', 'bug']",buruk layak dimainkan jangka bug,negative
bagus banget game nya,5,bagus banget game nya,bagus banget game nya,bagus banget game nya,"['bagus', 'banget', 'game', 'nya']","['bagus', 'banget', 'game']",bagus banget game,positive
lumayan bagusss grafik enakk,5,lumayan bagusss grafik enakk,lumayan bagusss grafik enakk,lumayan bagusss grafik enakk,"['lumayan', 'bagusss', 'grafik', 'enakk']","['lumayan', 'bagusss', 'grafik', 'enakk']",lumayan bagusss grafik enakk,negative
game bego,5,game bego,game bego,game bego,"['game', 'bego']","['game', 'bego']",game bego,positive
"makin aneh setelah update,dan pemain epik ga ada apa apanya dgn pemain standard makin lama gak jelas game nya",1,makin aneh setelah updatedan pemain epik ga ada apa apanya dgn pemain standard makin lama gak jelas game nya,makin aneh setelah updatedan pemain epik ga ada apa apanya dgn pemain standard makin lama gak jelas game nya,makin aneh setelah updatedan pemain epik ga ada apa apanya dengan pemain standard makin lama gak jelas game nya,"['makin', 'aneh', 'setelah', 'updatedan', 'pemain', 'epik', 'ga', 'ada', 'apa', 'apanya', 'dengan', 'pemain', 'standard', 'makin', 'lama', 'gak', 'jelas', 'game', 'nya']","['aneh', 'updatedan', 'pemain', 'epik', 'apanya', 'pemain', 'standard', 'game']",aneh updatedan pemain epik apanya pemain standard game,negative
tolong kh perbaiki game ini kok tiap mai kelua sendiri.tamba baru kali ini saya main kok lelet terus biasa nya tidak jaringan bagus saya mikirin ane game ini.suda pro main tabi bikin saya kesal bang.klu main stabil mungkin tidak dapat saya.tingal formasi nya,1,tolong kh perbaiki game ini kok tiap mai kelua sendiritamba baru kali ini saya main kok lelet terus biasa nya tidak jaringan bagus saya mikirin ane game inisuda pro main tabi bikin saya kesal bangklu main stabil mungkin tidak dapat sayatingal formasi nya,tolong kh perbaiki game ini kok tiap mai kelua sendiritamba baru kali ini saya main kok lelet terus biasa nya tidak jaringan bagus saya mikirin ane game inisuda pro main tabi bikin saya kesal bangklu main stabil mungkin tidak dapat sayatingal formasi nya,tolong kh perbaiki game ini kok tiap mai kelua sendiritamba baru kali ini saya main kok lambat terus biasa nya tidak jaringan bagus saya mikirin ane game inisuda profesional main tabi bikin saya kesal bangklu main stabil mungkin tidak dapat sayatingal formasi nya,"['tolong', 'kh', 'perbaiki', 'game', 'ini', 'kok', 'tiap', 'mai', 'kelua', 'sendiritamba', 'baru', 'kali', 'ini', 'saya', 'main', 'kok', 'lambat', 'terus', 'biasa', 'nya', 'tidak', 'jaringan', 'bagus', 'saya', 'mikirin', 'ane', 'game', 'inisuda', 'profesional', 'main', 'tabi', 'bikin', 'saya', 'kesal', 'bangklu', 'main', 'stabil', 'mungkin', 'tidak', 'dapat', 'sayatingal', 'formasi', 'nya']","['tolong', 'kh', 'perbaiki', 'game', 'mai', 'kelua', 'sendiritamba', 'kali', 'main', 'lambat', 'jaringan', 'bagus', 'mikirin', 'ane', 'game', 'inisuda', 'profesional', 'main', 'tabi', 'bikin', 'kesal', 'bangklu', 'main', 'stabil', 'sayatingal', 'formasi']",tolong kh perbaiki game mai kelua sendiritamba kali main lambat jaringan bagus mikirin ane game inisuda profesional main tabi bikin kesal bangklu main stabil sayatingal formasi,positive
bagus uda kaya game ps,5,bagus uda kaya game ps,bagus uda kaya game ps,bagus uda kaya game ps,"['bagus', 'uda', 'kaya', 'game', 'ps']","['bagus', 'uda', 'kaya', 'game', 'ps']",bagus uda kaya game ps,neutral
gg geming,5,gg geming,gg geming,gg geming,"['gg', 'geming']","['gg', 'geming']",gg geming,negative
mau main efootbal plss,5,mau main efootbal plss,mau main efootbal plss,mau main efootbal plss,"['mau', 'main', 'efootbal', 'plss']","['main', 'efootbal', 'plss']",main efootbal plss,neutral
"daripada kasih review atau masukan mending maki aja lah langsung, emang dipikir ngasih temuan di game itu akan dibaca developer game nya, lihat rating perusahaan nya di google sih udah jelas ya, gua curiga yg ngasih rating bagus di game ini cuma buzzer, sering mainin game nya gua yakin jg ngga",1,daripada kasih review atau masukan mending maki aja lah langsung emang dipikir ngasih temuan di game itu akan dibaca developer game nya lihat rating perusahaan nya di google sih udah jelas ya gua curiga yg ngasih rating bagus di game ini cuma buzzer sering mainin game nya gua yakin jg ngga,daripada kasih review atau masukan mending maki aja lah langsung emang dipikir ngasih temuan di game itu akan dibaca developer game nya lihat rating perusahaan nya di google sih udah jelas ya gua curiga yg ngasih rating bagus di game ini cuma buzzer sering mainin game nya gua yakin jg ngga,daripada kasih review atau masukan lebih baik maki saja lah langsung emang dipikir memberikan temuan di game itu akan dibaca developer game nya lihat rating perusahaan nya di google sih sudah jelas iya saya curiga yang memberikan rating bagus di game ini cuma buzzer sering mainin game nya saya yakin juga tidak,"['daripada', 'kasih', 'review', 'atau', 'masukan', 'lebih', 'baik', 'maki', 'saja', 'lah', 'langsung', 'emang', 'dipikir', 'memberikan', 'temuan', 'di', 'game', 'itu', 'akan', 'dibaca', 'developer', 'game', 'nya', 'lihat', 'rating', 'perusahaan', 'nya', 'di', 'google', 'sih', 'sudah', 'jelas', 'iya', 'saya', 'curiga', 'yang', 'memberikan', 'rating', 'bagus', 'di', 'game', 'ini', 'cuma', 'buzzer', 'sering', 'mainin', 'game', 'nya', 'saya', 'yakin', 'juga', 'tidak']","['kasih', 'review', 'masukan', 'maki', 'langsung', 'emang', 'dipikir', 'temuan', 'game', 'dibaca', 'developer', 'game', 'lihat', 'rating', 'perusahaan', 'google', 'curiga', 'rating', 'bagus', 'game', 'buzzer', 'mainin', 'game']",kasih review masukan maki langsung emang dipikir temuan game dibaca developer game lihat rating perusahaan google curiga rating bagus game buzzer mainin game,positive
stuck tlng diperbaiki,2,stuck tlng diperbaiki,stuck tlng diperbaiki,stuck tlng diperbaiki,"['stuck', 'tlng', 'diperbaiki']","['stuck', 'tlng', 'diperbaiki']",stuck tlng diperbaiki,neutral
seru,5,seru,seru,seru,['seru'],['seru'],seru,neutral
"abis update kiper jadi pajangan doang kayak fifa, buffon italy stat dewa planga plongo doang🤣",1,abis update kiper jadi pajangan doang kayak fifa buffon italy stat dewa planga plongo doang,abis update kiper jadi pajangan doang kayak fifa buffon italy stat dewa planga plongo doang,habis update kiper jadi pajangan doang kayak fifa buffon italy stat dewa planga plongo doang,"['habis', 'update', 'kiper', 'jadi', 'pajangan', 'doang', 'kayak', 'fifa', 'buffon', 'italy', 'stat', 'dewa', 'planga', 'plongo', 'doang']","['habis', 'update', 'kiper', 'pajangan', 'doang', 'kayak', 'fifa', 'buffon', 'italy', 'stat', 'dewa', 'planga', 'plongo', 'doang']",habis update kiper pajangan doang kayak fifa buffon italy stat dewa planga plongo doang,negative
bikin game yang bener masa gw cuman hilang wifi 3 detik doang malah kalah karna jaringan.ngotak dikit kalo bikin game,1,bikin game yang bener masa gw cuman hilang wifi  detik doang malah kalah karna jaringanngotak dikit kalo bikin game,bikin game yang bener masa gw cuman hilang wifi  detik doang malah kalah karna jaringanngotak dikit kalo bikin game,bikin game yang benar masa saya cuman hilang wifi detik doang bahkan kalah karena jaringanngotak dikit kalau bikin game,"['bikin', 'game', 'yang', 'benar', 'masa', 'saya', 'cuman', 'hilang', 'wifi', 'detik', 'doang', 'bahkan', 'kalah', 'karena', 'jaringanngotak', 'dikit', 'kalau', 'bikin', 'game']","['bikin', 'game', 'cuman', 'hilang', 'wifi', 'detik', 'doang', 'kalah', 'jaringanngotak', 'dikit', 'bikin', 'game']",bikin game cuman hilang wifi detik doang kalah jaringanngotak dikit bikin game,negative
bagus tapi tolong tambahkan lisensi tim nasional Indonesia 2025 nya oke,4,bagus tapi tolong tambahkan lisensi tim nasional Indonesia  nya oke,bagus tapi tolong tambahkan lisensi tim nasional indonesia  nya oke,bagus tapi tolong tambahkan lisensi tim nasional indonesia nya oke,"['bagus', 'tapi', 'tolong', 'tambahkan', 'lisensi', 'tim', 'nasional', 'indonesia', 'nya', 'oke']","['bagus', 'tolong', 'tambahkan', 'lisensi', 'tim', 'nasional', 'indonesia', 'oke']",bagus tolong tambahkan lisensi tim nasional indonesia oke,negative
tambahin liga Indonesia lah,2,tambahin liga Indonesia lah,tambahin liga indonesia lah,tambahin liga indonesia lah,"['tambahin', 'liga', 'indonesia', 'lah']","['tambahin', 'liga', 'indonesia']",tambahin liga indonesia,neutral
"game gajelas masa gw Udah Nungguin Berjam jam download datanya masih 0persen kocak banget padahal ga pake apk clone"" an",1,game gajelas masa gw Udah Nungguin Berjam jam download datanya masih persen kocak banget padahal ga pake apk clone an,game gajelas masa gw udah nungguin berjam jam download datanya masih persen kocak banget padahal ga pake apk clone an,game gajelas masa saya sudah nungguin berjam jam download datanya masih persen kocak banget padahal ga pakai apk clone an,"['game', 'gajelas', 'masa', 'saya', 'sudah', 'nungguin', 'berjam', 'jam', 'download', 'datanya', 'masih', 'persen', 'kocak', 'banget', 'padahal', 'ga', 'pakai', 'apk', 'clone', 'an']","['game', 'gajelas', 'nungguin', 'berjam', 'jam', 'download', 'datanya', 'persen', 'kocak', 'banget', 'pakai', 'apk', 'clone']",game gajelas nungguin berjam jam download datanya persen kocak banget pakai apk clone,positive
hapus aja game sampah ini...,1,hapus aja game sampah ini,hapus aja game sampah ini,hapus saja game sampah ini,"['hapus', 'saja', 'game', 'sampah', 'ini']","['hapus', 'game', 'sampah']",hapus game sampah,negative
game bola mobile paling bagus cuman kehalang lisensi aj sih,5,game bola mobile paling bagus cuman kehalang lisensi aj sih,game bola mobile paling bagus cuman kehalang lisensi aj sih,game bola mobile paling bagus cuman kehalang lisensi saja sih,"['game', 'bola', 'mobile', 'paling', 'bagus', 'cuman', 'kehalang', 'lisensi', 'saja', 'sih']","['game', 'bola', 'mobile', 'bagus', 'cuman', 'kehalang', 'lisensi']",game bola mobile bagus cuman kehalang lisensi,neutral
"sekarang ini game login aja susah, game makin rusak",2,sekarang ini game login aja susah game makin rusak,sekarang ini game login aja susah game makin rusak,sekarang ini game login saja susah game makin rusak,"['sekarang', 'ini', 'game', 'login', 'saja', 'susah', 'game', 'makin', 'rusak']","['game', 'login', 'susah', 'game', 'rusak']",game login susah game rusak,neutral
"gimna sihh develop tolong dong di bnerin masalahnya, masa tiba2 server tidak terhubung, klo masih sekali saya maklum, ini tiap saya main divisi pasti kek gitu, jangan cuma kartu epic yg dibanyakin game nya jga tolong di bnerin lahhh",1,gimna sihh develop tolong dong di bnerin masalahnya masa tiba server tidak terhubung klo masih sekali saya maklum ini tiap saya main divisi pasti kek gitu jangan cuma kartu epic yg dibanyakin game nya jga tolong di bnerin lahhh,gimna sihh develop tolong dong di bnerin masalahnya masa tiba server tidak terhubung klo masih sekali saya maklum ini tiap saya main divisi pasti kek gitu jangan cuma kartu epic yg dibanyakin game nya jga tolong di bnerin lahhh,gimna sihh develop tolong dong di bnerin masalahnya masa tiba server tidak terhubung kalau masih sekali saya maklum ini tiap saya main divisi pasti seperti gitu jangan cuma kartu epic yang dibanyakin game nya juga tolong di bnerin lahhh,"['gimna', 'sihh', 'develop', 'tolong', 'dong', 'di', 'bnerin', 'masalahnya', 'masa', 'tiba', 'server', 'tidak', 'terhubung', 'kalau', 'masih', 'sekali', 'saya', 'maklum', 'ini', 'tiap', 'saya', 'main', 'divisi', 'pasti', 'seperti', 'gitu', 'jangan', 'cuma', 'kartu', 'epic', 'yang', 'dibanyakin', 'game', 'nya', 'juga', 'tolong', 'di', 'bnerin', 'lahhh']","['gimna', 'sihh', 'develop', 'tolong', 'bnerin', 'server', 'terhubung', 'maklum', 'main', 'divisi', 'gitu', 'kartu', 'epic', 'dibanyakin', 'game', 'tolong', 'bnerin', 'lahhh']",gimna sihh develop tolong bnerin server terhubung maklum main divisi gitu kartu epic dibanyakin game tolong bnerin lahhh,positive
sering disconnected sendiri,1,sering disconnected sendiri,sering disconnected sendiri,sering disconnected sendiri,"['sering', 'disconnected', 'sendiri']",['disconnected'],disconnected,neutral
"KLO ga niat kasi card pemain jgn kasi spin gratis bro,capek capek claim tapi ga ada dapat",1,KLO ga niat kasi card pemain jgn kasi spin gratis brocapek capek claim tapi ga ada dapat,klo ga niat kasi card pemain jgn kasi spin gratis brocapek capek claim tapi ga ada dapat,kalau ga niat kasi card pemain jangan kasi spin gratis brocapek capek claim tapi ga ada dapat,"['kalau', 'ga', 'niat', 'kasi', 'card', 'pemain', 'jangan', 'kasi', 'spin', 'gratis', 'brocapek', 'capek', 'claim', 'tapi', 'ga', 'ada', 'dapat']","['niat', 'kasi', 'card', 'pemain', 'kasi', 'spin', 'gratis', 'brocapek', 'capek', 'claim']",niat kasi card pemain kasi spin gratis brocapek capek claim,negative
sangat sangat menyenangkan,5,sangat sangat menyenangkan,sangat sangat menyenangkan,sangat sangat menyenangkan,"['sangat', 'sangat', 'menyenangkan']",['menyenangkan'],menyenangkan,positive
benerin dulu jaringannya,1,benerin dulu jaringannya,benerin dulu jaringannya,benerin dulu jaringannya,"['benerin', 'dulu', 'jaringannya']","['benerin', 'jaringannya']",benerin jaringannya,neutral
semoga terus meningkat kedepannya,5,semoga terus meningkat kedepannya,semoga terus meningkat kedepannya,semoga terus meningkat kedepannya,"['semoga', 'terus', 'meningkat', 'kedepannya']","['semoga', 'meningkat', 'kedepannya']",semoga meningkat kedepannya,neutral
"Koneksi internet nya stabil tapi begitu main mode online kok ngeleg server nya parah nih, game pay to win, hilangkan itu smart assist di divisi atas player yang hanya di bantu sistem, smart assist nya sudah merajalela dimana² wow mau naik divisi tidak perlu usaha cukup aktifkan smart assist benar² game setingan sistem, skill gak perlu lagi cukup sistem yang atur, konyol. Izinkan terus aja smart assist di divisi atas biar game ini makin tolol player nya",1,Koneksi internet nya stabil tapi begitu main mode online kok ngeleg server nya parah nih game pay to win hilangkan itu smart assist di divisi atas player yang hanya di bantu sistem smart assist nya sudah merajalela dimana² wow mau naik divisi tidak perlu usaha cukup aktifkan smart assist benar² game setingan sistem skill gak perlu lagi cukup sistem yang atur konyol Izinkan terus aja smart assist di divisi atas biar game ini makin tolol player nya,koneksi internet nya stabil tapi begitu main mode online kok ngeleg server nya parah nih game pay to win hilangkan itu smart assist di divisi atas player yang hanya di bantu sistem smart assist nya sudah merajalela dimana² wow mau naik divisi tidak perlu usaha cukup aktifkan smart assist benar² game setingan sistem skill gak perlu lagi cukup sistem yang atur konyol izinkan terus aja smart assist di divisi atas biar game ini makin tolol player nya,koneksi internet nya stabil tapi begitu main mode online kok lambat server nya parah ini game pay to win hilangkan itu smart assist di divisi atas player yang hanya di bantu sistem smart assist nya sudah merajalela dimana² wow mau naik divisi tidak perlu usaha cukup aktifkan smart assist benar² game setingan sistem skill gak perlu lagi cukup sistem yang atur konyol izinkan terus saja smart assist di divisi atas biar game ini makin tolol player nya,"['koneksi', 'internet', 'nya', 'stabil', 'tapi', 'begitu', 'main', 'mode', 'online', 'kok', 'lambat', 'server', 'nya', 'parah', 'ini', 'game', 'pay', 'to', 'win', 'hilangkan', 'itu', 'smart', 'assist', 'di', 'divisi', 'atas', 'player', 'yang', 'hanya', 'di', 'bantu', 'sistem', 'smart', 'assist', 'nya', 'sudah', 'merajalela', 'dimana²', 'wow', 'mau', 'naik', 'divisi', 'tidak', 'perlu', 'usaha', 'cukup', 'aktifkan', 'smart', 'assist', 'benar²', 'game', 'setingan', 'sistem', 'skill', 'gak', 'perlu', 'lagi', 'cukup', 'sistem', 'yang', 'atur', 'konyol', 'izinkan', 'terus', 'saja', 'smart', 'assist', 'di', 'divisi', 'atas', 'biar', 'game', 'ini', 'makin', 'tolol', 'player', 'nya']","['koneksi', 'internet', 'stabil', 'main', 'mode', 'online', 'lambat', 'server', 'parah', 'game', 'pay', 'win', 'hilangkan', 'smart', 'assist', 'divisi', 'player', 'bantu', 'sistem', 'smart', 'assist', 'merajalela', 'dimana²', 'wow', 'divisi', 'usaha', 'aktifkan', 'smart', 'assist', 'benar²', 'game', 'setingan', 'sistem', 'skill', 'sistem', 'atur', 'konyol', 'izinkan', 'smart', 'assist', 'divisi', 'biar', 'game', 'tolol', 'player']",koneksi internet stabil main mode online lambat server parah game pay win hilangkan smart assist divisi player bantu sistem smart assist merajalela dimana² wow divisi usaha aktifkan smart assist benar² game setingan sistem skill sistem atur konyol izinkan smart assist divisi biar game tolol player,negative
gua bingung sama Konami sinyal wifi kenceng batrei banyak tapi giliran main udah kayak komputer rusak gambar nya putus2 apa lagi main liga kadang gerak nya kecepatan kadang lemot ga ada lancar2 nya tolong perbaiki lagi Konami,4,gua bingung sama Konami sinyal wifi kenceng batrei banyak tapi giliran main udah kayak komputer rusak gambar nya putus apa lagi main liga kadang gerak nya kecepatan kadang lemot ga ada lancar nya tolong perbaiki lagi Konami,gua bingung sama konami sinyal wifi kenceng batrei banyak tapi giliran main udah kayak komputer rusak gambar nya putus apa lagi main liga kadang gerak nya kecepatan kadang lemot ga ada lancar nya tolong perbaiki lagi konami,saya bingung sama konami koneksi wifi kenceng batrei banyak tapi giliran main sudah kayak komputer rusak gambar nya putus apa lagi main liga kadang gerak nya kecepatan kadang lambat ga ada lancar nya tolong perbaiki lagi konami,"['saya', 'bingung', 'sama', 'konami', 'koneksi', 'wifi', 'kenceng', 'batrei', 'banyak', 'tapi', 'giliran', 'main', 'sudah', 'kayak', 'komputer', 'rusak', 'gambar', 'nya', 'putus', 'apa', 'lagi', 'main', 'liga', 'kadang', 'gerak', 'nya', 'kecepatan', 'kadang', 'lambat', 'ga', 'ada', 'lancar', 'nya', 'tolong', 'perbaiki', 'lagi', 'konami']","['bingung', 'konami', 'koneksi', 'wifi', 'kenceng', 'batrei', 'giliran', 'main', 'kayak', 'komputer', 'rusak', 'gambar', 'putus', 'main', 'liga', 'kadang', 'gerak', 'kecepatan', 'kadang', 'lambat', 'lancar', 'tolong', 'perbaiki', 'konami']",bingung konami koneksi wifi kenceng batrei giliran main kayak komputer rusak gambar putus main liga kadang gerak kecepatan kadang lambat lancar tolong perbaiki konami,positive
masa gua downlod game nya 306 mb terus disuruh dowload data mana ngulang lagi,1,masa gua downlod game nya  mb terus disuruh dowload data mana ngulang lagi,masa gua downlod game nya  mb terus disuruh dowload data mana ngulang lagi,masa saya downlod game nya mb terus disuruh dowload data mana ngulang lagi,"['masa', 'saya', 'downlod', 'game', 'nya', 'mb', 'terus', 'disuruh', 'dowload', 'data', 'mana', 'ngulang', 'lagi']","['downlod', 'game', 'mb', 'disuruh', 'dowload', 'data', 'ngulang']",downlod game mb disuruh dowload data ngulang,negative
game bola terbaik di bumi ini😍😍😍,5,game bola terbaik di bumi ini,game bola terbaik di bumi ini,game bola terbaik di bumi ini,"['game', 'bola', 'terbaik', 'di', 'bumi', 'ini']","['game', 'bola', 'terbaik', 'bumi']",game bola terbaik bumi,positive
game tolol server gajelas sering disconect sendiri pdhl sinyal bagus,1,game tolol server gajelas sering disconect sendiri pdhl sinyal bagus,game tolol server gajelas sering disconect sendiri pdhl sinyal bagus,game tolol server gajelas sering disconect sendiri pdhl koneksi bagus,"['game', 'tolol', 'server', 'gajelas', 'sering', 'disconect', 'sendiri', 'pdhl', 'koneksi', 'bagus']","['game', 'tolol', 'server', 'gajelas', 'disconect', 'pdhl', 'koneksi', 'bagus']",game tolol server gajelas disconect pdhl koneksi bagus,negative
di update malah kaga bisa di unduh,1,di update malah kaga bisa di unduh,di update malah kaga bisa di unduh,di update bahkan tidak bisa di unduh,"['di', 'update', 'bahkan', 'tidak', 'bisa', 'di', 'unduh']","['update', 'unduh']",update unduh,neutral
jelek,1,jelek,jelek,jelek,['jelek'],['jelek'],jelek,negative
buruk,4,buruk,buruk,buruk,['buruk'],['buruk'],buruk,negative
pa an ngeleg trs dikit dikit pembaruan dikitfikit perbarui anjirrr. update trs dancok,1,pa an ngeleg trs dikit dikit pembaruan dikitfikit perbarui anjirrr update trs dancok,pa an ngeleg trs dikit dikit pembaruan dikitfikit perbarui anjirrr update trs dancok,pa an lambat terus dikit dikit pembaruan dikitfikit perbarui anjirrr update terus dancok,"['pa', 'an', 'lambat', 'terus', 'dikit', 'dikit', 'pembaruan', 'dikitfikit', 'perbarui', 'anjirrr', 'update', 'terus', 'dancok']","['pa', 'lambat', 'dikit', 'dikit', 'pembaruan', 'dikitfikit', 'perbarui', 'anjirrr', 'update', 'dancok']",pa lambat dikit dikit pembaruan dikitfikit perbarui anjirrr update dancok,negative
gimana kalau download Konami ini,5,gimana kalau download Konami ini,gimana kalau download konami ini,bagaimana kalau download konami ini,"['bagaimana', 'kalau', 'download', 'konami', 'ini']","['download', 'konami']",download konami,neutral
pergerakan dribble nya jadi aneh 👎,1,pergerakan dribble nya jadi aneh,pergerakan dribble nya jadi aneh,pergerakan dribble nya jadi aneh,"['pergerakan', 'dribble', 'nya', 'jadi', 'aneh']","['pergerakan', 'dribble', 'aneh']",pergerakan dribble aneh,neutral
Sinyal makin busuk.. laga PVP kalah lawan sinyal.,1,Sinyal makin busuk laga PVP kalah lawan sinyal,sinyal makin busuk laga pvp kalah lawan sinyal,koneksi makin busuk laga pvp kalah lawan koneksi,"['koneksi', 'makin', 'busuk', 'laga', 'pvp', 'kalah', 'lawan', 'koneksi']","['koneksi', 'busuk', 'laga', 'pvp', 'kalah', 'lawan', 'koneksi']",koneksi busuk laga pvp kalah lawan koneksi,negative
permainan tidak adil..pay to win membosankan,1,permainan tidak adilpay to win membosankan,permainan tidak adilpay to win membosankan,permainan tidak adilpay to win membosankan,"['permainan', 'tidak', 'adilpay', 'to', 'win', 'membosankan']","['permainan', 'adilpay', 'win', 'membosankan']",permainan adilpay win membosankan,negative
mohon update sistem liganya biar tambah seru mainnya,4,mohon update sistem liganya biar tambah seru mainnya,mohon update sistem liganya biar tambah seru mainnya,mohon update sistem liganya biar tambah seru mainnya,"['mohon', 'update', 'sistem', 'liganya', 'biar', 'tambah', 'seru', 'mainnya']","['mohon', 'update', 'sistem', 'liganya', 'biar', 'seru', 'mainnya']",mohon update sistem liganya biar seru mainnya,negative
Bagus,5,Bagus,bagus,bagus,['bagus'],['bagus'],bagus,negative
"game bola terjelek,server terburuk,sangat tidak rekomendasi",1,game bola terjelekserver terburuksangat tidak rekomendasi,game bola terjelekserver terburuksangat tidak rekomendasi,game bola terjelekserver terburuksangat tidak rekomendasi,"['game', 'bola', 'terjelekserver', 'terburuksangat', 'tidak', 'rekomendasi']","['game', 'bola', 'terjelekserver', 'terburuksangat', 'rekomendasi']",game bola terjelekserver terburuksangat rekomendasi,positive
"lag, crash",1,lag crash,lag crash,lambat crash,"['lambat', 'crash']","['lambat', 'crash']",lambat crash,negative
